time,open,high,low,close,Volume,OnBalanceVolume
2023-09-01T04:00:00-05:00,25980.46,26049.83,25975.24,26033.97,790.47731,383760.02541100024
2023-09-01T05:00:00-05:00,26033.98,26047.39,25987,25999.31,711.09676,383048.92865100026
2023-09-01T06:00:00-05:00,25999.32,26072.34,25981.79,26047.49,1210.11248,384259.04113100027
2023-09-01T07:00:00-05:00,26047.5,26156,25990.61,26063.27,2914.54752,387173.5886510003
2023-09-01T08:00:00-05:00,26063.27,26064.66,25874.05,26000,2140.06414,385033.5245110003
2023-09-01T09:00:00-05:00,26000.01,26000.01,25691.6,25717,3234.3527,381799.1718110003
2023-09-01T10:00:00-05:00,25717.01,25935.7,25566.53,25811,4100.63064,385899.8024510003
2023-09-01T11:00:00-05:00,25811,25964.17,25755,25789.78,2787.27058,383112.5318710003
2023-09-01T12:00:00-05:00,25789.77,25800.15,25333.75,25478.86,6773.85576,376338.6761110003
2023-09-01T13:00:00-05:00,25478.85,25834.86,25455.41,25654.23,3160.87024,379499.5463510003
2023-09-01T14:00:00-05:00,25654.22,25679.88,25581.24,25645.66,1221.52144,378278.02491100034
2023-09-01T15:00:00-05:00,25645.65,25937.42,25565.55,25776.62,2396.51774,380674.5426510003
2023-09-01T16:00:00-05:00,25776.62,25862.77,25734.92,25804.49,1085.28174,381759.8243910003
2023-09-01T17:00:00-05:00,25804.49,25826.71,25763.2,25764.3,718.38765,381041.43674100033
2023-09-01T18:00:00-05:00,25764.31,25835,25752.47,25805.05,671.72099,381713.15773100033
2023-09-01T19:00:00-05:00,25805.04,25840,25781.4,25789.12,561.81779,381151.33994100033
2023-09-01T20:00:00-05:00,25789.12,25815.55,25773.67,25773.68,504.79715,380646.54279100033
2023-09-01T21:00:00-05:00,25773.68,25795.87,25752.47,25761.91,498.00759,380148.53520100034
2023-09-01T22:00:00-05:00,25761.91,25811.23,25757.57,25798.08,562.38052,380710.91572100035
2023-09-01T23:00:00-05:00,25798.07,25805.05,25766.75,25779.72,405.00987,380305.90585100034
2023-09-02T00:00:00-05:00,25779.72,25853.03,25779.71,25821.38,906.77096,381212.67681100033
2023-09-02T01:00:00-05:00,25821.37,25832.91,25795.24,25801.4,378.92601,380833.75080100034
2023-09-02T02:00:00-05:00,25801.39,25842.06,25781.42,25795.47,518.58382,380315.16698100034
2023-09-02T03:00:00-05:00,25795.46,25801.88,25774.81,25782.25,573.73896,379741.42802100035
2023-09-02T04:00:00-05:00,25782.24,25825.67,25775.13,25810.54,657.06987,380398.49789100036
2023-09-02T05:00:00-05:00,25810.54,25855.49,25810.41,25832.89,687.32054,381085.81843100034
2023-09-02T06:00:00-05:00,25832.89,25860,25781.55,25813.54,861.47294,380224.34549100033
2023-09-02T07:00:00-05:00,25813.55,25835.83,25802.71,25808.72,596.48054,379627.8649510003
2023-09-02T08:00:00-05:00,25808.73,25853.76,25785.64,25825.01,766.46034,380394.3252910003
2023-09-02T09:00:00-05:00,25825,25894.48,25808.07,25866,979.72938,381374.0546710003
2023-09-02T10:00:00-05:00,25866,25987.5,25866,25894.76,1874.59182,383248.64649100025
2023-09-02T11:00:00-05:00,25894.77,25937.91,25843.93,25861.42,1043.36243,382205.2840610003
2023-09-02T12:00:00-05:00,25861.41,25873.88,25813.01,25813.58,758.75017,381446.53389100026
2023-09-02T13:00:00-05:00,25813.58,25824.85,25763.2,25809.63,1069.3134,380377.2204910003
2023-09-02T14:00:00-05:00,25809.62,25846.07,25800,25833.39,536.43098,380913.6514710003
2023-09-02T15:00:00-05:00,25833.4,25848.99,25817.84,25848.99,401.8327,381315.4841710003
2023-09-02T16:00:00-05:00,25848.98,25888.64,25841.66,25858.85,451.13904,381766.6232110003
2023-09-02T17:00:00-05:00,25858.84,25861.51,25845.66,25861.51,263.96982,382030.5930310003
2023-09-02T18:00:00-05:00,25861.51,25907.09,25855,25869.51,392.82034,382423.41337100026
2023-09-02T19:00:00-05:00,25869.52,25872.62,25826.29,25869.99,424.0648,382847.47817100026
2023-09-02T20:00:00-05:00,25869.99,25907.53,25855.48,25867.4,705.80159,382141.67658100027
2023-09-02T21:00:00-05:00,25867.4,25880.86,25855.76,25860.46,356.8628,381784.81378100027
2023-09-02T22:00:00-05:00,25860.46,25873.51,25850,25863.91,352.12964,382136.94342100027
2023-09-02T23:00:00-05:00,25863.91,25880.05,25863.9,25874.99,176.38697,382313.33039100026
2023-09-03T00:00:00-05:00,25874.98,25905,25873.5,25900.06,267.51977,382580.8501610003
2023-09-03T01:00:00-05:00,25900.06,25946.59,25892.51,25910,430.89286,383011.7430210003
2023-09-03T02:00:00-05:00,25909.99,25956.24,25899.96,25956.22,1168.50066,384180.2436810003
2023-09-03T03:00:00-05:00,25956.23,25956.3,25878.33,25882.18,588.49819,383591.7454910003
2023-09-03T04:00:00-05:00,25882.18,25943.41,25877.3,25905.02,777.96029,384369.7057810003
2023-09-03T05:00:00-05:00,25905.01,25938.43,25887.96,25932.97,423.75896,384793.4647410003
2023-09-03T06:00:00-05:00,25932.96,25945.92,25913.64,25943.38,461.92825,385255.3929910003
2023-09-03T07:00:00-05:00,25943.39,26085.01,25880.86,25896.06,1776.17476,383479.2182310003
2023-09-03T08:00:00-05:00,25896.07,25947.42,25807.32,25890.46,1124.47588,382354.7423510003
2023-09-03T09:00:00-05:00,25890.47,25936.93,25883,25926.96,467.53461,382822.2769610003
2023-09-03T10:00:00-05:00,25926.96,25928.96,25850,25873.5,603.27882,382218.9981410003
2023-09-03T11:00:00-05:00,25873.5,25897.04,25800,25846.9,1666.13426,380552.86388100026
2023-09-03T12:00:00-05:00,25846.91,25888,25832.98,25888,558.90338,381111.76726100023
2023-09-03T13:00:00-05:00,25887.99,26039.99,25882.27,25934.01,1170.77687,382282.54413100024
2023-09-03T14:00:00-05:00,25934,26014.94,25929.8,26011.16,710.15368,382992.6978110002
2023-09-03T15:00:00-05:00,26011.16,26135,25962.61,26048.18,1415.54875,384408.24656100024
2023-09-03T16:00:00-05:00,26048.18,26071.95,25950,25967.7,873.35806,383534.88850100024
2023-09-03T17:00:00-05:00,25967.7,25985,25932.77,25950.6,499.97135,383034.91715100023
2023-09-03T18:00:00-05:00,25950.59,25982.08,25927.94,25971.21,473.86147,383508.77862100024
2023-09-03T19:00:00-05:00,25971.21,25974.19,25897.06,25910.09,530.00216,382978.77646100026
2023-09-03T20:00:00-05:00,25910.1,25926.46,25877.66,25908.49,474.18359,382504.5928710003
2023-09-03T21:00:00-05:00,25908.49,26030,25895.36,25983.16,732.63631,383237.22918100026
2023-09-03T22:00:00-05:00,25983.17,26108.02,25975.67,25987.56,1005.47629,384242.7054710003
2023-09-03T23:00:00-05:00,25987.56,26018.12,25982.08,25982.64,623.73674,383618.96873100026
2023-09-04T00:00:00-05:00,25982.63,25992.35,25934.44,25934.44,526.2041,383092.7646310003
2023-09-04T01:00:00-05:00,25934.44,25992.25,25912.21,25967.48,675.35105,383768.1156810003
2023-09-04T02:00:00-05:00,25967.49,26010,25964.96,25964.96,680.86713,383087.24855100026
2023-09-04T03:00:00-05:00,25964.97,26011.24,25961.59,25986.08,571.65282,383658.9013710003
2023-09-04T04:00:00-05:00,25986.08,25986.52,25918.5,25952.21,673.24219,382985.65918100026
2023-09-04T05:00:00-05:00,25952.22,25967.25,25867.07,25907.79,1015.47872,381970.18046100024
2023-09-04T06:00:00-05:00,25907.8,25942.28,25865.57,25892.49,951.31809,381018.8623710002
2023-09-04T07:00:00-05:00,25892.49,25902.29,25815,25858.38,1215.7248,379803.1375710002
2023-09-04T08:00:00-05:00,25858.37,25911.75,25842.01,25883.35,826.3345,380629.4720710002
2023-09-04T09:00:00-05:00,25883.34,25909.21,25830.83,25854.41,689.73402,379939.7380510002
2023-09-04T10:00:00-05:00,25854.4,25966.8,25717.04,25814.23,3115.74595,376823.9921010002
2023-09-04T11:00:00-05:00,25814.24,25879.37,25810,25864.08,788.68621,377612.6783110002
2023-09-04T12:00:00-05:00,25864.08,25941.48,25850.47,25907.48,729.81342,378342.49173100025
2023-09-04T13:00:00-05:00,25907.47,25948.15,25886.45,25915.66,685.19871,379027.6904410003
2023-09-04T14:00:00-05:00,25915.66,25916.83,25853.15,25893.18,546.53151,378481.1589310003
2023-09-04T15:00:00-05:00,25893.19,25920,25806.41,25836.68,739.93881,377741.22012100025
2023-09-04T16:00:00-05:00,25836.68,25842.23,25631.21,25677.71,1856.10935,375885.11077100027
